there is a television in the middle of living room .	住宅中间有一个电视 。
they will spend a lot of money on new buildings .	他们将花很多钱在新建筑上 。
ifnecessary , we shall send a telegram home .	如果必要 , 我们将发送一个电报回家 。
and you fixed them up with the plasters in your firstaid kit .	你把他们固定在你第一次的厨房里 。
the notsosubtle juxtaposition is inescapable .	无疑的朱克斯塔位置是不可避免的 。
he's pasturing his cattle on the top meadow .	他过去的牛在顶部的地方 。
but his teacher commented: " you are not in yet . "	但是他的老师评论说: " 你还不在 。 "
but this was also a year in which the chinese dream showed clearly .	但这也是中国梦的一年 。
i shall join the lunch on 17 october 2010 .	2010年10月17日我要加入午餐 。
he can whisper mellifluous nothings in my ear .	他听到耳朵里无什么东西 。
the supply of raw material has been greatly reinforced .	原材料的供应大大增强 。
this kind of walking tractor runs on diesel oil .	这种行走牵引器在柴油上运行 。
i bought a plastic cover for a typewriter .	我买了一种塑料盖 , 用于一个类型的作家 。
it had the spiral structure revealed by congo red .	它有刚果红的螺旋结构 。
because we're students we get in free of charge .	因为我们是免费的学生 。
this is what psychologists dream about at night .	这是心理学家梦想的夜晚 。
let us know , let us pursue the knowledge of the lord .	让我们知道 , 让我们追求耶和华的知识 。
that he's not going to suddenly be left adrift .	那他不会突然离开 。
to assail with stinging criticism ; excoriate .	为了评价批评 ; 友好 。
example: a woman is married to mr . zhao .	例如:一个女人嫁给赵先生 。
i won 100 dollars in the scratch lottery .	我赢得了100美元的碎片 。
is it too much to ask for a little precipitation ?	要求一点沉淀过多吗 ?
his efforts were defeated by the forces of reaction .	他的努力受到反应力的击败 。
contact the old knowledge , revealing new lesson .	接触旧知识 , 揭露新课 。
and here in london , you have a lot of africans .	在伦敦 , 你有很多非洲人 。
definitely huaqing pool . it's the most famous .	华清池确实是最著名的 。
and all my little candle flames burned out ;	我的小蜡烛燃烧了 ;
i've called it 'wikiwiki . '	我称之为 " 维基维基 " 。
sickness is suffering , death is suffering ;	病害是苦难的 , 死亡是痛苦的 ;
indicate the operating sound level for each valve .	表示每个阀门的操作声水平 。
the children were marshalled into straight lines .	孩子们被标记成直线 。
b:here is viewing fish at rower harbor .	b:他在行人港看鱼 。
at a party in paris after violetta's return .	维罗塔回来后 , 在巴黎的一次聚会 。
some of you have come fresh from narrow jail cells .	你有些人来自狭窄的监狱细胞 。
salma asks her husband when the couple get home .	当夫妇回家时 , 萨玛问她丈夫 。
i take a deep inhale , depressed at the freshness .	我采取深吸入 , 抑郁在新鲜 。
i was an editor in morningstar from 2003 to 2007 .	2003年到2007年早晨 , 我是一名编辑器 。
with such a great victory come unreasonably great expectations .	这种伟大的胜利是不合理的 。
steven: i have a lot of wark to do in the company recently .	史蒂文:我最近在公司做了很多战争 。
