there is a television in the middle of living room .	住房中间有电视 。
they will spend a lot of money on new buildings .	他们将花很多钱在新建筑上花很多钱 。
ifnecessary , we shall send a telegram home .	如果有必要的话 , 我们将发送一个电信家 。
and you fixed them up with the plasters in your firstaid kit .	你把他们固定在你第一次艾滋病厨房的老板 。
the notsosubtle juxtaposition is inescapable .	难以置疑的朱克塔塔塔斯是不可避免的 。
he's pasturing his cattle on the top meadow .	他在顶台上过了帽子 。
but his teacher commented: " you are not in yet . "	但是他的老师说: " 你还不在 。 "
but this was also a year in which the chinese dream showed clearly .	但这也是中国梦的一年 。
i shall join the lunch on 17 october 2010 .	我在2010年10月加入午餐 。
he can whisper mellifluous nothings in my ear .	他可以在我的耳朵里无任何东西 。
the supply of raw material has been greatly reinforced .	原材料供应极大增强 。
this kind of walking tractor runs on diesel oil .	这种行走牵引器在柴油上运行 。
i bought a plastic cover for a typewriter .	我买了一个塑料盖 , 为一个类型的作家买了一套塑料盖 。
it had the spiral structure revealed by congo red .	它是由刚果红色透露的螺旋结构 。
because we're students we get in free of charge .	因为我们是免费的学生 。
this is what psychologists dream about at night .	这是什么心理学家梦想在晚上 。
let us know , let us pursue the knowledge of the lord .	让我们知道 , 让我们追求耶和华的知识 。
that he's not going to suddenly be left adrift .	那时他不会突然离开 。
to assail with stinging criticism ; excoriate .	为了避免评价批评 ; 经验 。
example: a woman is married to mr . zhao .	例如:一个女人嫁给赵先生 。
i won 100 dollars in the scratch lottery .	我赢得了100美元 。
is it too much to ask for a little precipitation ?	这太多人要求一点降水吗 ?
his efforts were defeated by the forces of reaction .	他的努力受到反应力的击败 。
contact the old knowledge , revealing new lesson .	联系老知识 , 揭示新课 。
and here in london , you have a lot of africans .	在伦敦 , 你有很多非洲人 。
definitely huaqing pool . it's the most famous .	肯定是华庆池 。 这是最著名的 。
and all my little candle flames burned out ;	我的小烛火烧了出来 ;
i've called it 'wikiwiki . '	我已经称之为 " 威基维基 " 。
sickness is suffering , death is suffering ;	病人受伤 , 死亡受伤 ;
indicate the operating sound level for each valve .	指示每个阀门操作声水平 。
the children were marshalled into straight lines .	孩子们被直线冲进了 。
b:here is viewing fish at rower harbor .	b:在哪里是在排行港口看鱼 。
